Date,Open,High,Low,Close,Adj Close,Volume
17-07-2012,154.009995,154.5,152.449997,153.470001,153.470001,13021800
18-07-2012,152.669998,153.600006,152.399994,153.050003,153.050003,6807600
19-07-2012,153.729996,154.320007,152.929993,153.380005,153.380005,6070000
20-07-2012,152.970001,154,152.75,153.669998,153.669998,8583800
23-07-2012,152.5,153.330002,152.289993,153.029999,153.029999,5256700
24-07-2012,153.630005,153.800003,152.199997,153.520004,153.520004,6538900
25-07-2012,155.330002,156.289993,155.050003,155.669998,155.669998,9355900
26-07-2012,156.699997,157.259995,156.050003,156.770004,156.770004,7343500
27-07-2012,157.639999,157.960007,156.660004,157.539993,157.539993,9772600
30-07-2012,156.839996,157.660004,154.809998,157.429993,157.429993,7212100
31-07-2012,157.600006,157.720001,156.259995,156.490005,156.490005,10919700
01-08-2012,155.179993,155.789993,154.410004,155.139999,155.139999,12714500
02-08-2012,154.660004,155.139999,153.610001,154.130005,154.130005,11538800
03-08-2012,154.649994,155.889999,154.419998,155.550003,155.550003,10670700
06-08-2012,155.919998,156.729996,155.740005,156.300003,156.300003,4610800
07-08-2012,156.369995,156.630005,156.009995,156.279999,156.279999,5923300
08-08-2012,156.490005,156.860001,156.259995,156.479996,156.479996,3620500
09-08-2012,156.360001,157,156.279999,156.990005,156.990005,3177800
10-08-2012,156.899994,157.820007,156.649994,157.179993,157.179993,4608000
13-08-2012,157.050003,157.449997,155.899994,155.990005,155.990005,4573300
14-08-2012,155.059998,155.580002,154.830002,155.130005,155.130005,5075200
16-08-2012,155.850006,157.089996,155.5,156.559998,156.559998,8838300
17-08-2012,157.059998,157.070007,156.220001,156.720001,156.720001,7812100
20-08-2012,156.520004,157.399994,156.470001,157.259995,157.259995,7846200
21-08-2012,158.809998,159.199997,158.690002,158.830002,158.830002,11833100
22-08-2012,159.190002,160.630005,158.509995,160.539993,160.539993,13605900
23-08-2012,161.410004,162.449997,161.229996,161.889999,161.889999,17237600
24-08-2012,161.869995,162.350006,161.330002,161.970001,161.970001,8497200
27-08-2012,161.770004,162.289993,161.339996,161.360001,161.360001,5380200
28-08-2012,161.630005,162.190002,161.300003,161.639999,161.639999,5074200
29-08-2012,161.600006,161.679993,160.179993,160.589996,160.589996,9287700
30-08-2012,161.259995,161.309998,160.009995,160.520004,160.520004,5813700
31-08-2012,161.139999,164.220001,159.559998,164.220001,164.220001,18024200
04-09-2012,164.110001,164.770004,163.660004,164.479996,164.479996,12034800
05-09-2012,164.119995,164.389999,163.809998,164.309998,164.309998,8401900
06-09-2012,165.160004,165.779999,164.800003,164.889999,164.889999,12961100
07-09-2012,167.770004,169,167.369995,168.440002,168.440002,19138600
10-09-2012,167.839996,168.139999,167.229996,167.289993,167.289993,7760600
11-09-2012,168.220001,168.529999,167.789993,167.899994,167.899994,7522900
12-09-2012,168.839996,168.869995,167.25,167.919998,167.919998,9945400
13-09-2012,167.869995,171.910004,166.300003,171.309998,171.309998,28336900
14-09-2012,171.889999,172.229996,171.309998,171.800003,171.800003,16847500
17-09-2012,171.770004,171.960007,170.059998,170.399994,170.399994,11281600
18-09-2012,170.809998,171.949997,170.669998,171.720001,171.720001,12486600
19-09-2012,171.880005,172.029999,171.190002,171.740005,171.740005,9125800
20-09-2012,171.029999,171.690002,170.229996,171.470001,171.470001,8703000
21-09-2012,172.929993,173.179993,171.539993,171.960007,171.960007,13361300
24-09-2012,170.630005,171.389999,170.570007,171.050003,171.050003,9177900
25-09-2012,171.759995,172.110001,170.5,170.770004,170.770004,10365300
26-09-2012,169.460007,170.050003,168.339996,169.809998,169.809998,12064800
27-09-2012,171.020004,172.600006,170.759995,172.339996,172.339996,10539500
28-09-2012,172.029999,172.479996,171.339996,171.889999,171.889999,9681200
01-10-2012,172.830002,173.619995,171.770004,172.289993,172.289993,10676400
03-10-2012,172.509995,172.610001,171.889999,172.410004,172.410004,5647600
04-10-2012,173.199997,174.070007,172.919998,173.610001,173.610001,10376800
05-10-2012,172.869995,173.369995,172.009995,172.619995,172.619995,8871000
09-10-2012,171.860001,172.169998,170.559998,170.990005,170.990005,7750700
10-10-2012,170.539993,171.339996,170.300003,170.839996,170.839996,7361300
11-10-2012,171.300003,171.949997,171.130005,171.320007,171.320007,5714900
12-10-2012,171.149994,171.410004,169.809998,170.059998,170.059998,8266000
15-10-2012,169.009995,169.100006,167.529999,168.350006,168.350006,10704900
16-10-2012,168.869995,169.449997,168.669998,169.419998,169.419998,6204000
17-10-2012,169.210007,169.949997,168.919998,169.539993,169.539993,5203400
18-10-2012,168.800003,169.309998,168.589996,168.789993,168.789993,6607100
19-10-2012,168.419998,168.449997,166.229996,166.970001,166.970001,13860400
22-10-2012,167.080002,167.630005,167.029999,167.580002,167.580002,6366200
23-10-2012,166.039993,166.059998,165.119995,165.429993,165.429993,11892500
24-10-2012,165.779999,165.830002,164.600006,164.860001,164.860001,10794600
25-10-2012,166.289993,166.529999,165.770004,166.020004,166.020004,7013800
26-10-2012,166.229996,166.600006,165.770004,165.929993,165.929993,6441300
31-10-2012,166.470001,167.279999,166.380005,166.830002,166.830002,4681500
01-11-2012,167.020004,167.039993,166.039993,166.070007,166.070007,6018000
02-11-2012,164.449997,164.470001,162.300003,162.600006,162.600006,14763100
05-11-2012,163.119995,163.419998,162.809998,163.229996,163.229996,6156200
06-11-2012,163.910004,166.770004,163.610001,166.300003,166.300003,16051800
07-11-2012,166.869995,167.130005,165.039993,166.490005,166.490005,13195200
08-11-2012,166.139999,168.160004,166.119995,167.990005,167.990005,8829000
09-11-2012,168.210007,168.539993,167.550003,167.820007,167.820007,7361000
13-11-2012,166.660004,167.940002,166.630005,167.100006,167.100006,6463300
14-11-2012,167.460007,168.039993,166.779999,167.139999,167.139999,8510500
15-11-2012,167,167.050003,165.179993,166.089996,166.089996,10023200
16-11-2012,165.740005,166.360001,165.470001,165.880005,165.880005,6944000
19-11-2012,167.75,168.160004,167.380005,167.869995,167.869995,6764500
20-11-2012,167.75,168.020004,166.839996,167.389999,167.389999,5496100
21-11-2012,167.190002,167.820007,166.970001,167.559998,167.559998,3810700
23-11-2012,167.970001,170.009995,167.800003,169.610001,169.610001,6110100
26-11-2012,169.559998,169.729996,169.25,169.429993,169.429993,5377700
27-11-2012,169.139999,169.399994,168.619995,168.710007,168.710007,7314400
28-11-2012,165.429993,166.839996,165.380005,166.550003,166.550003,12880100
29-11-2012,167.139999,167.5,166.850006,167.179993,167.179993,7446800
30-11-2012,166.940002,167.220001,165.529999,166.050003,166.050003,8412300
03-12-2012,166.110001,166.919998,166.039993,166.130005,166.130005,6363400
04-12-2012,164.059998,164.830002,163.869995,164.419998,164.419998,10208900
05-12-2012,164.220001,164.5,163.199997,164.119995,164.119995,10646800
06-12-2012,163.720001,165,163.529999,164.5,164.5,7301600
07-12-2012,164.880005,165.220001,164.600006,165.160004,165.160004,7289500
10-12-2012,166.110001,166.160004,165.710007,165.800003,165.800003,4646600
11-12-2012,165.449997,165.660004,165.119995,165.649994,165.649994,4724000
12-12-2012,166.199997,166.940002,165.360001,165.770004,165.770004,14164700
13-12-2012,163.869995,164.899994,163.779999,164.369995,164.369995,9332800
14-12-2012,164.169998,164.479996,164.020004,164.130005,164.130005,5351700
17-12-2012,164.160004,164.619995,164.130005,164.440002,164.440002,8173300
18-12-2012,164.350006,164.429993,160.899994,162.080002,162.080002,23995000
19-12-2012,161.309998,162.220001,161.110001,161.690002,161.690002,12991600
20-12-2012,159.869995,160.119995,158.389999,159.729996,159.729996,25148400
21-12-2012,159.820007,160.759995,159.779999,160.330002,160.330002,13445400
24-12-2012,160.880005,160.960007,160.470001,160.619995,160.619995,3699400
26-12-2012,161.360001,161.490005,160.639999,160.779999,160.779999,4961800
27-12-2012,160.229996,161.309998,160.050003,161.160004,161.160004,8937700
28-12-2012,160.940002,160.970001,160.149994,160.539993,160.539993,6852900
31-12-2012,160.899994,162.75,160.770004,162.020004,162.020004,11786200
02-01-2013,163.490005,164.139999,163.139999,163.169998,163.169998,10431800
03-01-2013,162.479996,162.880005,160.830002,161.199997,161.199997,16117500
04-01-2013,159.520004,160.630005,158.889999,160.440002,160.440002,19179800
07-01-2013,159.360001,159.960007,159.149994,159.429993,159.429993,9361800
08-01-2013,160.460007,160.990005,160.009995,160.559998,160.559998,7694800
09-01-2013,160.770004,160.830002,159.899994,160.490005,160.490005,8334200
10-01-2013,161.610001,162.559998,161.610001,161.979996,161.979996,11432600
11-01-2013,161.860001,161.899994,160.110001,161.059998,161.059998,13675600
14-01-2013,161.880005,161.970001,161.130005,161.539993,161.539993,7289000
15-01-2013,162.800003,163.169998,162.350006,162.559998,162.559998,10077800
16-01-2013,162.419998,163.029999,162.149994,162.649994,162.649994,9214700
17-01-2013,161.940002,164.399994,161.830002,163.350006,163.350006,14911400
18-01-2013,163.949997,163.970001,163.020004,163.089996,163.089996,10038100
22-01-2013,163.479996,164.220001,163.369995,163.669998,163.669998,8587900
23-01-2013,163.919998,163.949997,163,163.210007,163.210007,6697000
24-01-2013,161.979996,162.270004,161.179993,161.419998,161.419998,13188300
25-01-2013,160.559998,161.039993,160.309998,160.649994,160.649994,9037400
28-01-2013,160.240005,160.729996,160.020004,160.289993,160.289993,8491600
29-01-2013,161.009995,161.309998,160.690002,160.990005,160.990005,7364900
30-01-2013,162.679993,163.039993,162.029999,162.190002,162.190002,12010000
31-01-2013,161.619995,161.809998,160.470001,161.199997,161.199997,9334000
01-02-2013,162.660004,162.770004,160.869995,161.449997,161.449997,12904300
04-02-2013,161.190002,162.419998,161.149994,162,162,7354900
